data,vendas_saz,vendas_saz_preco_mes,vendas_saz_preco_ano,prod_auto_leve,prod_auto_leve_preco_atual_mes,prod_auto-leve_ano,expo_saz,expo_saz_preço_mes,expo__saz_preco_ano,expo_saz_sa,expo_saz_sa_mes,vendas_total_saz,vendas_total_saz_preco_mes,vendas_total_saz_preco_ano,prod_total,prod_total_preco_mes,prod_total_preco_ano,prod_total_sa,prod_total_sa_mes,prod_total_saz,prod_total_saz_preco_mes,prod_total_saz_preco_ano,vendas,vendas_preco_mes,vendas_preco_ano,vendas_sa,vendas_sa_mes,expo_auto,expo_preco_mes,expo_preco_ano,vendas_total,vendas_total_preco_mes,vendas_total_sa_mes,ano
2020-07-01,146363.0,24.76,-30.0,162230.0,77.33,-35.99,28370.0,85.39,-30.46,29657.3,97.83,174733.0,31.76,-30.07,170651.0,73.34,-36.08,169619.05,62.79,161716.0,42.9,-37.22,155692.0,34.54,-28.74,151287.61,25.71,29126.0,50.03,-30.8,184818.0,36.76,34.43,2020
2020-08-01,164849.0,12.63,-19.81,201572.0,24.25,-21.37,27102.0,-4.47,-24.92,26850.76,-9.46,191951.0,9.85,-20.57,210009.0,23.06,-22.15,189344.98,11.63,195059.0,20.62,-20.48,165524.0,6.32,-23.67,150352.6,-0.62,27897.0,-4.22,-24.08,193421.0,4.65,-2.48,2020
2021-04-01,169849.0,1.76,190.68,175942.0,-5.26,16688.36,30772.0,-12.66,529.54,32638.61,-7.6,200621.0,-0.75,216.84,190907.0,-4.71,10236.06,190112.23,-6.2,179565.0,1.37,-5439.43,157976.0,-8.17,233.51,166234.47,-8.52,33877.0,-7.89,369.73,191853.0,-8.12,-8.53,2021
2019-04-01,205401.0,-2.11,2.08,255351.0,10.65,0.47,33228.0,-7.37,-54.09,35102.06,-2.13,238628.0,-2.87,-12.78,267561.0,11.13,0.38,264103.1,11.08,255060.0,0.95,-1.75,205774.0,10.51,8.01,208688.67,8.7,34905.0,-10.72,-52.17,240679.0,6.83,7.47,2019
2020-02-01,207985.0,9.6,5.56,192519.0,5.12,-21.67,33953.0,3.29,-7.69,32728.26,-0.78,241938.0,8.67,3.48,204206.0,6.51,-20.83,216755.31,-0.55,226068.0,1.18,-8.1,179925.0,5.12,1.83,208333.6,5.5,37677.0,83.35,-6.99,217602.0,13.51,5.16,2020
2018-03-01,182211.0,3.89,13.26,254759.0,25.12,11.28,63663.0,1.28,-3.42,63807.94,3.17,245874.0,3.2,8.41,267539.0,25.31,13.09,258147.94,11.9,249326.0,7.68,22.99,182935.0,32.07,8.73,185641.81,8.93,67488.0,1.76,-2.59,250423.0,22.26,6.43,2018
2020-09-01,181578.0,10.15,-11.66,208773.0,3.57,-11.02,33648.0,24.15,-16.24,33294.63,24.0,215226.0,12.13,-12.41,220162.0,4.83,-11.03,214995.16,13.55,218386.0,11.96,-13.23,188514.0,13.89,-10.24,190618.84,26.78,30519.0,9.4,-16.71,219033.0,13.24,29.57,2020
2019-11-01,207351.0,1.31,6.64,216645.0,-21.1,-6.88,31442.0,-2.91,-6.54,31058.32,-3.28,238793.0,0.73,4.69,227455.0,-21.16,-7.07,211785.94,-21.27,219863.0,-16.99,-8.13,218723.0,-4.15,6.64,207708.6,-6.26,31735.0,5.9,-7.86,250458.0,-2.98,-5.01,2019
2018-05-01,167350.0,-16.83,0.6,203081.0,-20.1,-16.66,54250.0,-25.05,-18.4,54292.9,-26.83,221600.0,-19.0,-4.82,212329.0,-20.34,-16.21,198872.69,-24.55,199529.0,-23.14,-12.42,175634.0,-7.81,0.68,173650.16,-9.53,60754.0,-16.75,-17.26,236388.0,-10.29,-14.46,2018
2021-02-01,184474.0,-3.23,-11.3,183641.0,-3.43,-4.61,29583.0,-19.49,-12.87,28381.85,-22.55,214057.0,-5.85,-11.52,197035.0,-1.68,-3.51,208932.73,-7.24,215559.0,-10.82,-4.65,153654.0,-0.86,-14.6,180144.2,-1.44,33064.0,27.57,-12.24,186718.0,3.21,-4.55,2021
2019-05-01,210196.0,2.33,25.6,261742.0,2.5,28.89,36406.0,9.56,-32.89,36574.68,4.2,246602.0,3.34,11.28,275747.0,3.06,29.87,263301.7,-0.3,248307.0,-2.65,24.45,219849.0,6.84,25.17,216307.94,3.65,42126.0,20.69,-30.66,261975.0,8.85,3.68,2019
2020-10-01,187050.0,3.01,-8.61,223759.0,7.18,-18.51,36831.0,9.46,13.73,36338.44,9.14,223881.0,4.02,-5.56,236468.0,7.41,-18.04,218708.77,1.73,219780.0,0.64,-17.02,196045.0,3.99,-14.08,189738.0,-0.46,34882.0,14.3,16.41,230927.0,5.43,-0.51,2020
